"Identificador de URL";"Nombre";"Categorías";"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";"Precio";"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";"Stock";"SKU";"Código de barras";"Mostrar en tienda";"Envío sin cargo";"Descripción";"Tags";"Título para SEO";"Descripción para SEO";"Marca";"Producto Físico";"MPN (Número de pieza del fabricante)";"Sexo";"Rango de edad";"Costo"
"glock-35-gen4-40s-w";"Glock 35 gen4 40S&W";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-011";"";"SI";"NO";"Pistola Glock 35 gen4 calibre .40 S&W, excelente rendimiento. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,35,40s&w";"Pistola Glock 35 gen4 40S&W | JGO Armería";"Pistola Glock 35 gen4 calibre .40 S&W, excelente rendimiento. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-43-gen4-9mm";"Glock 43 gen4 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-012";"";"SI";"NO";"Pistola Glock 43 gen4 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,43,9mm";"Pistola Glock 43 gen4 9mm | JGO Armería";"Pistola Glock 43 gen4 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-44-gen4-22lr";"Glock 44 gen4 22LR";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-013";"";"SI";"NO";"Pistola Glock 44 gen4 calibre .22 LR, ideal para entrenamiento y tiro recreativo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,44,22lr";"Pistola Glock 44 gen4 22LR | JGO Armería";"Pistola Glock 44 gen4 calibre .22 LR, ideal para entrenamiento y tiro recreativo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-45mos-gen4-9mm";"Glock 45mos gen4 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-014";"";"SI";"NO";"Pistola Glock 45mos gen4 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,45mos,9mm";"Pistola Glock 45mos gen4 9mm | JGO Armería";"Pistola Glock 45mos gen4 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-45compacta-9mm";"Glock 45compacta 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-015";"";"SI";"NO";"Pistola Glock 45compacta calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,45compacta,9mm";"Pistola Glock 45compacta 9mm | JGO Armería";"Pistola Glock 45compacta calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-48-9mm";"Glock 48 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-016";"";"SI";"NO";"Pistola Glock 48 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,48,9mm";"Pistola Glock 48 9mm | JGO Armería";"Pistola Glock 48 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-48-dt-9mm";"Glock 48 dt 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-017";"";"SI";"NO";"Pistola Glock 48 dt calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,48,9mm";"Pistola Glock 48 dt 9mm | JGO Armería";"Pistola Glock 48 dt calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"bersa-tpr9cx-fde";"Bersa TPR9CX FDE 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-018";"";"SI";"NO";"Pistola Bersa TPR9CX FDE calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,tpr9cx,9mm";"Pistola Bersa TPR9CX FDE 9mm | JGO Armería";"Pistola Bersa TPR9CX FDE calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-tpr9x-cerakote";"Bersa TPR9X Cerakote OD c/caño rosca 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-019";"";"SI";"NO";"Pistola Bersa TPR9X Cerakote OD c/caño rosca calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,tpr9x,9mm";"Pistola Bersa TPR9X Cerakote OD c/caño rosca 9mm | JGO Armería";"Pistola Bersa TPR9X Cerakote OD c/caño rosca calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-tpr9-cerakote";"Bersa TPR9 Cerakote Bright 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-020";"";"SI";"NO";"Pistola Bersa TPR9 Cerakote Bright calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,tpr9,9mm";"Pistola Bersa TPR9 Cerakote Bright 9mm | JGO Armería";"Pistola Bersa TPR9 Cerakote Bright calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-tpr9-duo";"Bersa TPR9 Duo Tono 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-021";"";"SI";"NO";"Pistola Bersa TPR9 Duo Tono calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,tpr9,9mm";"Pistola Bersa TPR9 Duo Tono 9mm | JGO Armería";"Pistola Bersa TPR9 Duo Tono calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-tpr9-cl";"Bersa TPR9 CL 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-022";"";"SI";"NO";"Pistola Bersa TPR9 CL calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,tpr9,9mm";"Pistola Bersa TPR9 CL 9mm | JGO Armería";"Pistola Bersa TPR9 CL calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-bp9cc-fde";"Bersa BP9CC FDE Optics Ready Pavon 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-023";"";"SI";"NO";"Pistola Bersa BP9CC FDE Optics Ready Pavon calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,bp9cc,9mm";"Pistola Bersa BP9CC FDE Optics Ready Pavon 9mm | JGO Armería";"Pistola Bersa BP9CC FDE Optics Ready Pavon calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-bp9cc-fde";"Bersa BP9CC FDE Frame 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-024";"";"SI";"NO";"Pistola Bersa BP9CC FDE Frame calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,bp9cc,9mm";"Pistola Bersa BP9CC FDE Frame 9mm | JGO Armería";"Pistola Bersa BP9CC FDE Frame calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-bp9cc-flat";"Bersa BP9CC Flat Dark Earth 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-025";"";"SI";"NO";"Pistola Bersa BP9CC Flat Dark Earth calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,bp9cc,9mm";"Pistola Bersa BP9CC Flat Dark Earth 9mm | JGO Armería";"Pistola Bersa BP9CC Flat Dark Earth calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-bp9-fs";"Bersa BP9 FS OD FDE 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-026";"";"SI";"NO";"Pistola Bersa BP9 FS OD FDE calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,bp9,9mm";"Pistola Bersa BP9 FS OD FDE 9mm | JGO Armería";"Pistola Bersa BP9 FS OD FDE calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-bp9-fs";"Bersa BP9 FS FDE 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-027";"";"SI";"NO";"Pistola Bersa BP9 FS FDE calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,bp9,9mm";"Pistola Bersa BP9 FS FDE 9mm | JGO Armería";"Pistola Bersa BP9 FS FDE calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"bersa-bp9-fs";"Bersa BP9 FS Pavon 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BER-028";"";"SI";"NO";"Pistola Bersa BP9 FS Pavon calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"bersa,bp9,9mm";"Pistola Bersa BP9 FS Pavon 9mm | JGO Armería";"Pistola Bersa BP9 FS Pavon calibre 9mm. Fabricada por Bersa, Argentina. Alta precisión y confiabilidad.";"Bersa";"SI";"";"";"";""
"taurus-m825-pm-38spl-pavonado";"Taurus M825 PM 38SPL Pavonado";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-029";"";"SI";"NO";"Revolver Taurus M825 PM calibre 38SPL. Acabado Pavonado. - cañón 4"", capacidad 6 tiros";"taurus,m825-pm,38spl";"Revolver Taurus M825 PM 38SPL | JGO Armería";"Revolver Taurus M825 PM calibre 38SPL. Acabado Pavonado. - cañón 4"", capacidad 6 tiros";"Taurus";"SI";"";"";"";""
"taurus-627-cp-357m-inox";"Taurus 627 CP 357M Inox";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-030";"";"SI";"NO";"Revolver Taurus 627 CP calibre 357M. Acabado Inox. - cañón 4"", capacidad 7 tiros";"taurus,627-cp,357m";"Revolver Taurus 627 CP 357M | JGO Armería";"Revolver Taurus 627 CP calibre 357M. Acabado Inox. - cañón 4"", capacidad 7 tiros";"Taurus";"SI";"";"";"";""
"taurus-627-im-357m-inox";"Taurus 627 IM 357M Inox";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-031";"";"SI";"NO";"Revolver Taurus 627 IM calibre 357M. Acabado Inox. - cañón 6"", capacidad 7 tiros";"taurus,627-im,357m";"Revolver Taurus 627 IM 357M | JGO Armería";"Revolver Taurus 627 IM calibre 357M. Acabado Inox. - cañón 6"", capacidad 7 tiros";"Taurus";"SI";"";"";"";""
"taurus-856-ul-38sp-pavonado";"Taurus 856 UL 38SP Pavonado";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-032";"";"SI";"NO";"Revolver Taurus 856 UL calibre 38SP. Acabado Pavonado. - cañón 2"", capacidad 6 tiros";"taurus,856-ul,38sp";"Revolver Taurus 856 UL 38SP | JGO Armería";"Revolver Taurus 856 UL calibre 38SP. Acabado Pavonado. - cañón 2"", capacidad 6 tiros";"Taurus";"SI";"";"";"";""
"taurus-m96-22lr-pavonado";"Taurus M96 22LR Pavonado";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-033";"";"SI";"NO";"Revolver Taurus M96 calibre 22LR. Acabado Pavonado. - cañón 6"", capacidad 6 tiros";"taurus,m96,22lr";"Revolver Taurus M96 22LR | JGO Armería";"Revolver Taurus M96 calibre 22LR. Acabado Pavonado. - cañón 6"", capacidad 6 tiros";"Taurus";"SI";"";"";"";""
"taurus-m992-22lr-22mag-inox-mate";"Taurus M992 22LR/22MAG Inox/Mate";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-034";"";"SI";"NO";"Revolver Taurus M992 calibre 22LR/22MAG. Acabado Inox/Mate. - cañón 4"", capacidad 9 tiros";"taurus,m992,22lr-22mag";"Revolver Taurus M992 22LR/22MAG | JGO Armería";"Revolver Taurus M992 calibre 22LR/22MAG. Acabado Inox/Mate. - cañón 4"", capacidad 9 tiros";"Taurus";"SI";"";"";"";""
"taurus-m444-ig-44mg-inox";"Taurus M444 IG 44MG Inox";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-035";"";"SI";"NO";"Revolver Taurus M444 IG calibre 44MG. Acabado Inox. - cañón 6.5"", capacidad 6 tiros";"taurus,m444-ig,44mg";"Revolver Taurus M444 IG 44MG | JGO Armería";"Revolver Taurus M444 IG calibre 44MG. Acabado Inox. - cañón 6.5"", capacidad 6 tiros";"Taurus";"SI";"";"";"";""
"taurus-m855-38sp-pavonado";"Taurus M855 38SP Pavonado";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-036";"";"SI";"NO";"Revolver Taurus M855 calibre 38SP. Acabado Pavonado. - cañón 4"", capacidad 5 tiros";"taurus,m855,38sp";"Revolver Taurus M855 38SP | JGO Armería";"Revolver Taurus M855 calibre 38SP. Acabado Pavonado. - cañón 4"", capacidad 5 tiros";"Taurus";"SI";"";"";"";""
"taurus-m94-22lr-inox";"Taurus M94 22LR Inox";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-037";"";"SI";"NO";"Revolver Taurus M94 calibre 22LR. Acabado Inox. - cañón 4"", capacidad 9 tiros";"taurus,m94,22lr";"Revolver Taurus M94 22LR | JGO Armería";"Revolver Taurus M94 calibre 22LR. Acabado Inox. - cañón 4"", capacidad 9 tiros";"Taurus";"SI";"";"";"";""
"taurus-m85-38sp-pavonado";"Taurus M85 38SP Pavonado";"Armas > Revolveres";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-038";"";"SI";"NO";"Revolver Taurus M85 calibre 38SP. Acabado Pavonado. - cañón 2"", capacidad 5 tiros";"taurus,m85,38sp";"Revolver Taurus M85 38SP | JGO Armería";"Revolver Taurus M85 calibre 38SP. Acabado Pavonado. - cañón 2"", capacidad 5 tiros";"Taurus";"SI";"";"";"";""
"taurus-commander-1911";"Taurus Commander 1911 - 9mm Pavonado mate";"Armas > Pistolas";"Calibre";"9mm";"Acabado";"Pavonado mate";"";"";"";"";"1";"15";"10";"30";"5";"TAU-039";"";"SI";"NO";"Pistola Taurus Commander 1911 calibre 9mm. Acabado Pavonado mate. - capacidad 9 tiros x2";"taurus,commander-1911,9mm";"Pistola Taurus Commander 1911 9mm Pavonado mate | JGO Armería";"Pistola Taurus Commander 1911 calibre 9mm. Acabado Pavonado mate. - capacidad 9 tiros x2";"Taurus";"SI";"";"";"";""
"taurus-commander-1911";"Taurus Commander 1911 - 45ACP Pavonado mate";"Armas > Pistolas";"Calibre";"45ACP";"Acabado";"Pavonado mate";"";"";"";"";"1";"15";"10";"30";"5";"TAU-040";"";"SI";"NO";"Pistola Taurus Commander 1911 calibre 45ACP. Acabado Pavonado mate. - capacidad 8 tiros x2";"taurus,commander-1911,45acp";"Pistola Taurus Commander 1911 45ACP Pavonado mate | JGO Armería";"Pistola Taurus Commander 1911 calibre 45ACP. Acabado Pavonado mate. - capacidad 8 tiros x2";"Taurus";"SI";"";"";"";""
"taurus-commander-1911";"Taurus Commander 1911 - 45ACP Inox";"Armas > Pistolas";"Calibre";"45ACP";"Acabado";"Inox";"";"";"";"";"1";"15";"10";"30";"5";"TAU-041";"";"SI";"NO";"Pistola Taurus Commander 1911 calibre 45ACP. Acabado Inox. - capacidad 8 tiros x2";"taurus,commander-1911,45acp";"Pistola Taurus Commander 1911 45ACP Inox | JGO Armería";"Pistola Taurus Commander 1911 calibre 45ACP. Acabado Inox. - capacidad 8 tiros x2";"Taurus";"SI";"";"";"";""
"taurus-g3c";"Taurus G3C - 9mm Inox/Marrón";"Armas > Pistolas";"Acabado";"Inox/Marrón";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-042";"";"SI";"NO";"Pistola Taurus G3C calibre 9mm. Acabado Inox/Marrón. - capacidad 12 tiros";"taurus,g3c,9mm";"Pistola Taurus G3C 9mm Inox/Marrón | JGO Armería";"Pistola Taurus G3C calibre 9mm. Acabado Inox/Marrón. - capacidad 12 tiros";"Taurus";"SI";"";"";"";""
"taurus-g3c";"Taurus G3C - 9mm Toro Pavonado/Sint.";"Armas > Pistolas";"Acabado";"Toro Pavonado/Sint.";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-043";"";"SI";"NO";"Pistola Taurus G3C calibre 9mm. Acabado Toro Pavonado/Sint.. - capacidad 17 tiros";"taurus,g3c,9mm";"Pistola Taurus G3C 9mm Toro Pavonado/Sint. | JGO Armería";"Pistola Taurus G3C calibre 9mm. Acabado Toro Pavonado/Sint.. - capacidad 17 tiros";"Taurus";"SI";"";"";"";""
"taurus-g3c";"Taurus G3C - 9mm Verde/Negro";"Armas > Pistolas";"Acabado";"Verde/Negro";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-044";"";"SI";"NO";"Pistola Taurus G3C calibre 9mm. Acabado Verde/Negro. - capacidad 17 tiros";"taurus,g3c,9mm";"Pistola Taurus G3C 9mm Verde/Negro | JGO Armería";"Pistola Taurus G3C calibre 9mm. Acabado Verde/Negro. - capacidad 17 tiros";"Taurus";"SI";"";"";"";""
"taurus-g3c";"Taurus G3C - 9mm Arena/Negro";"Armas > Pistolas";"Acabado";"Arena/Negro";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-045";"";"SI";"NO";"Pistola Taurus G3C calibre 9mm. Acabado Arena/Negro. - capacidad 17 tiros";"taurus,g3c,9mm";"Pistola Taurus G3C 9mm Arena/Negro | JGO Armería";"Pistola Taurus G3C calibre 9mm. Acabado Arena/Negro. - capacidad 17 tiros";"Taurus";"SI";"";"";"";""
"taurus-mth40c-40-s-w-pavonado";"Taurus MTH40C 40 S&W Pavonado";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-046";"";"SI";"NO";"Pistola Taurus MTH40C calibre 40 S&W. Acabado Pavonado. - capacidad 11-15 tiros";"taurus,mth40c,40-s-w";"Pistola Taurus MTH40C 40 S&W | JGO Armería";"Pistola Taurus MTH40C calibre 40 S&W. Acabado Pavonado. - capacidad 11-15 tiros";"Taurus";"SI";"";"";"";""
"taurus-g2c";"Taurus G2C - 9mm Pavonado/Gris";"Armas > Pistolas";"Acabado";"Pavonado/Gris";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-047";"";"SI";"NO";"Pistola Taurus G2C calibre 9mm. Acabado Pavonado/Gris. - capacidad 17 tiros";"taurus,g2c,9mm";"Pistola Taurus G2C 9mm Pavonado/Gris | JGO Armería";"Pistola Taurus G2C calibre 9mm. Acabado Pavonado/Gris. - capacidad 17 tiros";"Taurus";"SI";"";"";"";""
"taurus-g2c";"Taurus G2C - 9mm Pavonado/Sint.";"Armas > Pistolas";"Acabado";"Pavonado/Sint.";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-048";"";"SI";"NO";"Pistola Taurus G2C calibre 9mm. Acabado Pavonado/Sint.. - capacidad 17 tiros";"taurus,g2c,9mm";"Pistola Taurus G2C 9mm Pavonado/Sint. | JGO Armería";"Pistola Taurus G2C calibre 9mm. Acabado Pavonado/Sint.. - capacidad 17 tiros";"Taurus";"SI";"";"";"";""
"taurus-mts9-9mm-pavonada";"Taurus MTS9 9mm Pavonada";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"TAU-049";"";"SI";"NO";"Pistola Taurus MTS9 calibre 9mm. Acabado Pavonada. - capacidad 17 tiros";"taurus,mts9,9mm";"Pistola Taurus MTS9 9mm | JGO Armería";"Pistola Taurus MTS9 calibre 9mm. Acabado Pavonada. - capacidad 17 tiros";"Taurus";"SI";"";"";"";""
"beretta-9x9";"Beretta 9x9 - Pavonada";"Armas > Pistolas";"Acabado";"Pavonada";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-050";"";"SI";"NO";"Pistola Beretta 9x9 calibre 9mm. Acabado Pavonada.";"beretta,9x9,9mm";"Pistola Beretta 9x9 Pavonada | JGO Armería";"Pistola Beretta 9x9 calibre 9mm. Acabado Pavonada.";"Beretta";"SI";"";"";"";""
